matchday,team,oppteam,home,goals_for,goals_against
1,Atalanta,Lecce,0,4,0
1,Bologna,Udinese,1,1,1
1,Cagliari,Roma,1,0,0
1,Como,Juventus,0,0,3
1,Empoli,Monza,1,0,0
1,Fiorentina,Parma,0,1,1
1,Genoa,Inter,1,2,2
1,Hellas Verona,Napoli,1,3,0
1,Inter,Genoa,0,2,2
1,Juventus,Como,1,3,0
1,Lazio,Venezia,1,3,1
1,Lecce,Atalanta,1,0,4
1,Milan,Torino,1,2,2
1,Monza,Empoli,0,0,0
1,Napoli,Hellas Verona,0,0,3
1,Parma,Fiorentina,1,1,1
1,Roma,Cagliari,0,0,0
1,Torino,Milan,0,2,2
1,Udinese,Bologna,0,1,1
1,Venezia,Lazio,0,1,3
2,Atalanta,Torino,0,1,2
2,Bologna,Napoli,0,0,3
2,Cagliari,Como,1,1,1
2,Como,Cagliari,0,1,1
2,Empoli,Roma,0,2,1
2,Fiorentina,Venezia,1,0,0
2,Genoa,Monza,0,1,0
2,Hellas Verona,Juventus,1,0,3
2,Inter,Lecce,1,2,0
2,Juventus,Hellas Verona,0,3,0
2,Lazio,Udinese,0,1,2
2,Lecce,Inter,0,0,2
2,Milan,Parma,0,1,2
2,Monza,Genoa,1,0,1
2,Napoli,Bologna,1,3,0
2,Parma,Milan,1,2,1
2,Roma,Empoli,1,1,2
2,Torino,Atalanta,1,2,1
2,Udinese,Lazio,1,2,1
2,Venezia,Fiorentina,0,0,0
3,Atalanta,Inter,0,0,4
3,Bologna,Empoli,1,1,1
3,Cagliari,Lecce,0,0,1
3,Como,Udinese,0,0,1
3,Empoli,Bologna,0,1,1
3,Fiorentina,Monza,1,2,2
3,Genoa,Hellas Verona,1,0,2
3,Hellas Verona,Genoa,0,2,0
3,Inter,Atalanta,1,4,0
3,Juventus,Roma,1,0,0
3,Lazio,Milan,1,2,2
3,Lecce,Cagliari,1,1,0
3,Milan,Lazio,0,2,2
3,Monza,Fiorentina,0,2,2
3,Napoli,Parma,1,2,1
3,Parma,Napoli,0,1,2
3,Roma,Juventus,0,0,0
3,Torino,Venezia,0,1,0
3,Udinese,Como,1,1,0
3,Venezia,Torino,1,0,1
4,Atalanta,Fiorentina,1,3,2
4,Bologna,Como,0,2,2
4,Cagliari,Napoli,1,0,4
4,Como,Bologna,1,2,2
4,Empoli,Juventus,1,0,0
4,Fiorentina,Atalanta,0,2,3
4,Genoa,Roma,1,1,1
4,Hellas Verona,Lazio,0,1,2
4,Inter,Monza,0,1,1
4,Juventus,Empoli,0,0,0
4,Lazio,Hellas Verona,1,2,1
4,Lecce,Torino,0,0,0
4,Milan,Venezia,1,4,0
4,Monza,Inter,1,1,1
4,Napoli,Cagliari,0,4,0
4,Parma,Udinese,1,2,3
4,Roma,Genoa,0,1,1
4,Torino,Lecce,1,0,0
4,Udinese,Parma,0,3,2
4,Venezia,Milan,0,0,4
5,Atalanta,Como,1,2,3
5,Bologna,Monza,0,2,1
5,Cagliari,Empoli,1,0,2
5,Como,Atalanta,0,3,2
5,Empoli,Cagliari,0,2,0
5,Fiorentina,Lazio,1,2,1
5,Genoa,Venezia,0,0,2
5,Hellas Verona,Torino,1,2,3
5,Inter,Milan,1,1,2
5,Juventus,Napoli,1,0,0
5,Lazio,Fiorentina,0,1,2
5,Lecce,Parma,1,2,2
5,Milan,Inter,0,2,1
5,Monza,Bologna,1,1,2
5,Napoli,Juventus,0,0,0
5,Parma,Lecce,0,2,2
5,Roma,Udinese,1,3,0
5,Torino,Hellas Verona,0,3,2
5,Udinese,Roma,0,0,3
5,Venezia,Genoa,1,2,0
6,Atalanta,Bologna,0,1,1
6,Bologna,Atalanta,1,1,1
6,Cagliari,Parma,0,3,2
6,Como,Hellas Verona,1,3,2
6,Empoli,Fiorentina,1,0,0
6,Fiorentina,Empoli,0,0,0
6,Genoa,Juventus,1,0,3
6,Hellas Verona,Como,0,2,3
6,Inter,Udinese,0,3,2
6,Juventus,Genoa,0,3,0
6,Lazio,Torino,0,3,2
6,Lecce,Milan,0,0,3
6,Milan,Lecce,1,3,0
6,Monza,Napoli,0,0,2
6,Napoli,Monza,1,2,0
6,Parma,Cagliari,1,2,3
6,Roma,Venezia,1,2,1
6,Torino,Lazio,1,2,3
6,Udinese,Inter,1,2,3
6,Venezia,Roma,0,1,2
7,Atalanta,Genoa,1,5,1
7,Bologna,Parma,1,0,0
7,Cagliari,Juventus,0,1,1
7,Como,Napoli,0,1,3
7,Empoli,Lazio,0,1,2
7,Fiorentina,Milan,1,2,1
7,Genoa,Atalanta,0,1,5
7,Hellas Verona,Venezia,1,2,1
7,Inter,Torino,1,3,2
7,Juventus,Cagliari,1,1,1
7,Lazio,Empoli,1,2,1
7,Lecce,Udinese,0,0,1
7,Milan,Fiorentina,0,1,2
7,Monza,Roma,1,1,1
7,Napoli,Como,1,3,1
7,Parma,Bologna,0,0,0
7,Roma,Monza,0,1,1
7,Torino,Inter,0,2,3
7,Udinese,Lecce,1,1,0
7,Venezia,Hellas Verona,0,1,2
8,Atalanta,Venezia,0,2,0
8,Bologna,Genoa,0,2,2
8,Cagliari,Torino,1,3,2
8,Como,Parma,1,1,1
8,Empoli,Napoli,1,0,1
8,Fiorentina,Lecce,0,6,0
8,Genoa,Bologna,1,2,2
8,Hellas Verona,Monza,1,0,3
8,Inter,Roma,0,1,0
8,Juventus,Lazio,1,1,0
8,Lazio,Juventus,0,0,1
8,Lecce,Fiorentina,1,0,6
8,Milan,Udinese,1,1,0
8,Monza,Hellas Verona,0,3,0
8,Napoli,Empoli,0,1,0
8,Parma,Como,0,1,1
8,Roma,Inter,1,0,1
8,Torino,Cagliari,0,2,3
8,Udinese,Milan,0,0,1
8,Venezia,Atalanta,1,0,2
9,Atalanta,Hellas Verona,1,6,1
9,Bologna,Milan,1,2,1
9,Cagliari,Udinese,0,0,2
9,Como,Torino,0,0,1
9,Empoli,Parma,0,1,1
9,Fiorentina,Roma,1,5,1
9,Genoa,Lazio,0,0,3
9,Hellas Verona,Atalanta,0,1,6
9,Inter,Juventus,1,4,4
9,Juventus,Inter,0,4,4
