matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
1,Atalanta,Musso,p,6.0,6.0,6,6
1,Atalanta,Zappacosta,d,6.5,6.5,"6,5","6,5"
1,Atalanta,Djimsiti,d,6.0,6.0,6,6
1,Atalanta,Bakker,d,6.0,6.0,6,6
1,Atalanta,Godfrey,d,6.0,6.0,6,6
1,Atalanta,Ruggeri,d,7.0,8.0,7,8
1,Atalanta,Hien,d,6.5,6.5,"6,5","6,5"
1,Atalanta,Palestra,d,55.0,55.0,55,55
1,Atalanta,De Roon,c,6.5,6.0,"6,5",6
1,Atalanta,Pasalic,c,7.0,8.0,7,8
1,Atalanta,Brescianini,c,8.0,14.0,8,14
1,Atalanta,Ederson D.s.,c,6.5,6.0,"6,5",6
1,Atalanta,Sulemana I.,c,55.0,55.0,55,55
1,Atalanta,Cassa,c,55.0,55.0,55,55
1,Atalanta,De Ketelaere,a,6.0,6.0,6,6
1,Atalanta,Retegui,a,7.5,13.5,"7,5","13,5"
1,Atalanta,Gasperini,all,7.0,7.0,7,7
1,Bologna,Skorupski,p,6.5,8.5,"6,5","8,5"
1,Bologna,Lykogiannis,d,6.5,6.5,"6,5","6,5"
1,Bologna,Miranda J.,d,55.0,55.0,55,55
1,Bologna,Erlic,d,7.0,7.0,7,7
1,Bologna,Posch,d,6.0,6.0,6,6
1,Bologna,Beukema,d,6.0,6.0,6,6
1,Bologna,Freuler,c,6.5,6.5,"6,5","6,5"
1,Bologna,Orsolini,c,7.5,10.5,"7,5","10,5"
1,Bologna,Ndoye,c,6.0,6.0,6,6
1,Bologna,Aebischer,c,6.0,6.0,6,6
1,Bologna,Moro N.,c,6.0,6.0,6,6
1,Bologna,Fabbian,c,6.0,6.0,6,6
1,Bologna,Odgaard,a,55.0,55.0,55,55
1,Bologna,Cambiaghi,a,6.0,6.0,6,6
1,Bologna,Castro S.,a,6.5,6.5,"6,5","6,5"
1,Bologna,Dallinga,a,55.0,55.0,55,55
1,Bologna,Italiano,all,6.0,6.0,6,6
1,Cagliari,Scuffet,p,6.5,6.5,"6,5","6,5"
1,Cagliari,Luperto,d,6.0,6.0,6,6
1,Cagliari,Augello,d,5.5,5.5,"5,5","5,5"
1,Cagliari,Zappa,d,6.0,6.0,6,6
1,Cagliari,Azzi,d,6.0,5.5,6,"5,5"
1,Cagliari,Wieteska,d,6.5,6.5,"6,5","6,5"
1,Cagliari,Deiola,c,6.0,5.5,6,"5,5"
1,Cagliari,Adopo,c,6.0,6.0,6,6
1,Cagliari,Marin,c,6.5,6.5,"6,5","6,5"
1,Cagliari,Prati,c,6.0,6.0,6,6
1,Cagliari,Pavoletti,a,6.0,6.0,6,6
1,Cagliari,Lapadula,a,55.0,55.0,55,55
1,Cagliari,Piccoli,a,6.0,6.0,6,6
1,Cagliari,Luvumbo,a,6.0,6.0,6,6
1,Cagliari,Nicola,all,6.5,6.5,"6,5","6,5"
1,Como,Reina,p,6.5,3.5,"6,5","3,5"
1,Como,Barba,d,5.5,5.5,"5,5","5,5"
