player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Emil Audero,id IDN,GK,Como,27,1997,8,8,720,18,2.25,35,17,48.6,2,2,4,0,0.0,4,4,0,0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jean Butez,fr FRA,GK,Como,29,1995,19,18,"1,666",20,1.08,69,49,71.0,8,4,6,5,27.8,2,2,0,0,18.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elia Caprile,it ITA,GK,Napoli,22,2001,4,3,325,1,0.28,8,7,87.5,3,0,0,3,100.0,0,0,0,0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Elia Caprile,it ITA,GK,Cagliari,22,2001,18,18,"1,620",22,1.22,68,46,67.6,5,4,9,5,27.8,1,1,0,0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Carnesecchi,it ITA,GK,Atalanta,24,2000,34,34,"3,060",34,1.0,132,98,74.2,19,7,8,13,38.2,2,2,0,0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Chichizola,ar ARG,GK,Parma,34,1990,1,1,90,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giuseppe Ciocci,it ITA,GK,Cagliari,22,2002,1,0,9,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michele Di Gregorio,it ITA,GK,Juventus,27,1997,33,33,"2,970",32,0.97,99,71,67.7,16,13,4,14,42.4,5,5,0,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wladimiro Falcone,it ITA,GK,Lecce,29,1995,38,38,"3,420",58,1.53,177,127,67.2,8,10,20,9,23.7,10,8,1,1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David de Gea,es ESP,GK,Fiorentina,33,1990,35,35,"3,150",38,1.09,134,96,71.6,19,5,11,11,31.4,3,1,2,0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pierluigi Gollini,it ITA,GK,Genoa,29,1995,7,7,630,15,2.14,32,17,53.1,1,2,4,1,14.3,4,3,1,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jesse Joronen,fi FIN,GK,Venezia,31,1993,8,7,703,15,1.92,42,27,64.3,1,1,5,2,28.6,3,3,0,0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicola Leali,it ITA,GK,Genoa,31,1993,29,29,"2,610",31,1.07,112,83,72.3,8,10,11,10,34.5,4,3,1,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Maignan,fr FRA,GK,Milan,29,1995,37,37,"3,294",41,1.12,139,98,70.5,17,9,11,13,35.1,2,1,1,0,36.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christos Mandas,gr GRE,GK,Lazio,22,2001,9,9,810,7,0.78,27,20,74.1,3,5,1,4,44.4,0,0,0,0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josep Martinez,es ESP,GK,Inter,26,1998,5,5,450,3,0.6,15,12,80.0,4,1,0,3,60.0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrea Mazza,it ITA,GK,Monza,20,2004,1,0,8,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Meret,it ITA,GK,Napoli,27,1997,34,34,"3,005",25,0.75,84,59,70.2,21,9,4,17,50.0,4,1,2,1,33.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vanja Milinković-Savić,rs SRB,GK,Torino,27,1997,37,37,"3,330",42,1.14,173,131,75.7,10,14,13,10,27.0,7,3,4,0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Montipò,it ITA,GK,Hellas Verona,28,1996,36,36,"3,240",64,1.78,164,100,61.0,9,7,20,8,22.2,4,2,1,1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Musso,ar ARG,GK,Atalanta,30,1994,1,1,90,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maduka Okoye,ng NGA,GK,Udinese,24,1999,25,25,"2,250",40,1.6,113,73,64.6,6,4,15,4,16.0,5,4,0,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Padelli,it ITA,GK,Udinese,38,1985,1,1,90,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Paleari,it ITA,GK,Torino,31,1992,1,1,90,3,3.0,7,4,57.1,0,0,1,0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rui Patrício,pt POR,GK,Atalanta,36,1988,3,3,270,3,1.0,14,11,78.6,2,1,0,1,33.3,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Perilli,it ITA,GK,Hellas Verona,29,1995,2,2,180,2,1.0,11,9,81.8,1,0,1,0,0.0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattia Perin,it ITA,GK,Juventus,31,1992,5,5,450,3,0.6,16,13,81.3,2,3,0,3,60.0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semuel Pizzignacco,it ITA,GK,Monza,22,2001,9,8,736,17,2.08,40,23,57.5,1,2,5,1,12.5,0,0,0,0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Provedel,it ITA,GK,Lazio,30,1994,29,29,"2,610",42,1.45,95,53,55.8,15,6,8,5,17.2,4,4,0,0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ionuț Radu,ro ROU,GK,Venezia,27,1997,15,15,"1,350",18,1.2,63,47,71.4,2,7,6,4,26.7,3,3,0,0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Ravaglia,it ITA,GK,Bologna,24,1999,12,11,"1,056",14,1.19,24,10,41.7,5,2,4,4,36.4,1,1,0,0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pepe Reina,es ESP,GK,Como,41,1982,12,12,"1,034",14,1.22,42,28,66.7,3,4,5,2,16.7,1,1,0,0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Razvan Sava,ro ROU,GK,Udinese,22,2002,12,12,"1,080",16,1.33,54,38,70.4,5,4,3,4,33.3,3,3,0,0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,it ITA,GK,Cagliari,28,1996,13,13,"1,170",23,1.77,56,33,58.9,3,3,7,1,7.7,5,5,0,0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,it ITA,GK,Napoli,28,1996,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacopo Seghetti,it ITA,GK,Empoli,19,2005,1,1,90,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alen Sherri,al ALB,GK,Cagliari,26,1997,7,7,621,11,1.59,31,20,64.5,1,2,4,1,14.3,0,0,0,0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Siegrist,ch SUI,GK,Genoa,32,1992,2,2,152,2,1.18,12,10,83.3,1,1,0,0,0.0,0,0,0,0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Silvestri,it ITA,GK,Empoli,33,1991,5,5,450,11,2.2,27,16,59.3,0,1,4,0,0.0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Łukasz Skorupski,pl POL,GK,Bologna,33,1991,27,27,"2,364",33,1.26,83,51,60.2,11,12,4,8,29.6,2,1,1,0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Sommariva,it ITA,GK,Genoa,27,1997,1,0,28,1,3.21,3,2,66.7,0,0,0,0,0.0,0,0,0,0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann Sommer,ch SUI,GK,Inter,35,1988,33,33,"2,970",32,0.97,116,84,72.4,20,8,5,13,39.4,4,3,1,0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Sportiello,it ITA,GK,Milan,32,1992,2,1,126,2,1.43,6,4,66.7,1,0,0,1,100.0,0,0,0,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filip Stankovic,rs SRB,GK,Venezia,22,2002,16,16,"1,367",23,1.51,84,61,72.6,2,6,8,0,0.0,5,4,1,0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zion Suzuki,jp JPN,GK,Parma,21,2002,36,36,"3,240",53,1.47,148,95,64.2,7,15,14,7,19.4,5,5,0,0,36.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mile Svilar,rs SRB,GK,Roma,24,1999,38,38,"3,420",35,0.92,153,118,77.1,20,9,9,16,42.1,4,4,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pietro Terracciano,it ITA,GK,Fiorentina,34,1990,3,3,270,3,1.0,14,10,78.6,0,3,0,1,33.3,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefano Turati,it ITA,GK,Monza,22,2001,30,30,"2,676",52,1.75,145,93,64.1,2,7,21,2,6.7,4,2,2,0,29.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devis Vásquez,co COL,GK,Empoli,26,1998,32,32,"2,880",45,1.41,127,82,64.6,6,12,14,6,18.8,2,1,1,0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
