matchday,home,away,date
7,Torino,Napoli,2025-10-18
8,Cremonese,Atalanta,2025-10-25
8,Fiorentina,Bologna,2025-10-26
8,Hellas Verona,Cagliari,2025-10-26
8,Lazio,Juventus,2025-10-26
8,Milan,Pisa,2025-10-24
8,Napoli,Inter,2025-10-25
8,Parma,Como,2025-10-25
8,Sassuolo,Roma,2025-10-26
8,Torino,Genoa,2025-10-26
8,Udinese,Lecce,2025-10-25
9,Atalanta,Milan,2025-10-28
9,Bologna,Torino,2025-10-29
9,Cagliari,Sassuolo,2025-10-30
9,Como,Hellas Verona,2025-10-29
9,Genoa,Cremonese,2025-10-29
9,Inter,Fiorentina,2025-10-29
9,Juventus,Udinese,2025-10-29
9,Lecce,Napoli,2025-10-28
9,Pisa,Lazio,2025-10-30
9,Roma,Parma,2025-10-29
10,Cremonese,Juventus,2025-11-01
10,Fiorentina,Lecce,2025-11-02
10,Hellas Verona,Inter,2025-11-02
10,Lazio,Cagliari,2025-11-03
10,Milan,Roma,2025-11-02
10,Napoli,Como,2025-11-01
10,Parma,Bologna,2025-11-02
10,Sassuolo,Genoa,2025-11-03
10,Torino,Pisa,2025-11-02
10,Udinese,Atalanta,2025-11-01
11,Atalanta,Sassuolo,2025-11-09
11,Bologna,Napoli,2025-11-09
11,Como,Cagliari,2025-11-08
11,Genoa,Fiorentina,2025-11-09
11,Inter,Lazio,2025-11-09
11,Juventus,Torino,2025-11-08
11,Lecce,Hellas Verona,2025-11-08
11,Parma,Milan,2025-11-08
11,Pisa,Cremonese,2025-11-07
11,Roma,Udinese,2025-11-09
12,Cagliari,Genoa,2025-11-22
12,Cremonese,Roma,2025-11-23
12,Fiorentina,Juventus,2025-11-22
12,Hellas Verona,Parma,2025-11-23
12,Inter,Milan,2025-11-23
12,Lazio,Lecce,2025-11-23
12,Napoli,Atalanta,2025-11-22
12,Sassuolo,Pisa,2025-11-24
12,Torino,Como,2025-11-24
12,Udinese,Bologna,2025-11-22
13,Atalanta,Fiorentina,2025-11-30
13,Bologna,Cremonese,2025-12-01
13,Como,Sassuolo,2025-11-28
13,Genoa,Hellas Verona,2025-11-29
13,Juventus,Cagliari,2025-11-29
13,Lecce,Torino,2025-11-30
13,Milan,Lazio,2025-11-29
13,Parma,Udinese,2025-11-29
13,Pisa,Inter,2025-11-30
13,Roma,Napoli,2025-11-30
14,Cagliari,Roma,2025-12-07
14,Cremonese,Lecce,2025-12-07
14,Hellas Verona,Atalanta,2025-12-06
14,Inter,Como,2025-12-06
14,Lazio,Bologna,2025-12-07
14,Napoli,Juventus,2025-12-07
14,Pisa,Parma,2025-12-08
14,Sassuolo,Fiorentina,2025-12-06
14,Torino,Milan,2025-12-08
14,Udinese,Genoa,2025-12-08
15,Atalanta,Cagliari,2025-12-13
15,Bologna,Juventus,2025-12-14
15,Fiorentina,Hellas Verona,2025-12-14
15,Genoa,Inter,2025-12-14
15,Lecce,Pisa,2025-12-12
15,Milan,Sassuolo,2025-12-14
15,Parma,Lazio,2025-12-13
15,Roma,Como,2025-12-15
15,Torino,Cremonese,2025-12-13
15,Udinese,Napoli,2025-12-14
16,Cagliari,Pisa,2025-12-21
16,Como,Milan,2026-01-15
16,Fiorentina,Udinese,2025-12-21
16,Genoa,Atalanta,2025-12-21
16,Hellas Verona,Bologna,2026-01-15
16,Inter,Lecce,2026-01-14
16,Juventus,Roma,2025-12-20
16,Lazio,Cremonese,2025-12-20
16,Napoli,Parma,2026-01-14
16,Sassuolo,Torino,2025-12-21
17,Atalanta,Inter,2025-12-28
17,Bologna,Sassuolo,2025-12-28
17,Cremonese,Napoli,2025-12-28
17,Lecce,Como,2025-12-27
17,Milan,Hellas Verona,2025-12-28
17,Parma,Fiorentina,2025-12-27
17,Pisa,Juventus,2025-12-27
17,Roma,Genoa,2025-12-29
17,Torino,Cagliari,2025-12-27
17,Udinese,Lazio,2025-12-27
18,Atalanta,Roma,2026-01-03
18,Cagliari,Milan,2026-01-02
18,Como,Udinese,2026-01-03
18,Fiorentina,Cremonese,2026-01-04
18,Genoa,Pisa,2026-01-03
18,Hellas Verona,Torino,2026-01-04
18,Inter,Bologna,2026-01-04
18,Juventus,Lecce,2026-01-03
18,Lazio,Napoli,2026-01-04
18,Sassuolo,Parma,2026-01-03
19,Bologna,Atalanta,2026-01-07
19,Cremonese,Cagliari,2026-01-08
19,Lazio,Fiorentina,2026-01-07
19,Lecce,Roma,2026-01-06
19,Milan,Genoa,2026-01-08
19,Napoli,Hellas Verona,2026-01-07
19,Parma,Inter,2026-01-07
19,Pisa,Como,2026-01-06
19,Sassuolo,Juventus,2026-01-06
19,Torino,Udinese,2026-01-07
20,Atalanta,Torino,2026-01-10
20,Como,Bologna,2026-01-10
20,Fiorentina,Milan,2026-01-11
20,Genoa,Cagliari,2026-01-12
20,Hellas Verona,Lazio,2026-01-11
20,Inter,Napoli,2026-01-11
20,Juventus,Cremonese,2026-01-12
20,Lecce,Parma,2026-01-11
20,Roma,Sassuolo,2026-01-10
20,Udinese,Pisa,2026-01-10
21,Bologna,Fiorentina,2026-01-18
21,Cagliari,Juventus,2026-01-17
21,Cremonese,Hellas Verona,2026-01-19
21,Lazio,Como,2026-01-19
21,Milan,Lecce,2026-01-18
21,Napoli,Sassuolo,2026-01-17
21,Parma,Genoa,2026-01-18
21,Pisa,Atalanta,2026-01-16
21,Torino,Roma,2026-01-18
21,Udinese,Inter,2026-01-17
22,Atalanta,Parma,2026-01-25
22,Como,Torino,2026-01-24
22,Fiorentina,Cagliari,2026-01-24
22,Genoa,Bologna,2026-01-25
22,Hellas Verona,Udinese,2026-01-26
22,Inter,Pisa,2026-01-23
22,Juventus,Napoli,2026-01-25
22,Lecce,Lazio,2026-01-24
22,Roma,Milan,2026-01-25
22,Sassuolo,Cremonese,2026-01-25
23,Bologna,Milan,2026-02-03
23,Cagliari,Hellas Verona,2026-01-31
23,Como,Atalanta,2026-02-01
23,Cremonese,Inter,2026-02-01
23,Lazio,Genoa,2026-01-30
23,Napoli,Fiorentina,2026-01-31
23,Parma,Juventus,2026-02-01
23,Pisa,Sassuolo,2026-01-31
23,Torino,Lecce,2026-02-01
23,Udinese,Roma,2026-02-02
24,Atalanta,Cremonese,2026-02-09
24,Bologna,Parma,2026-02-08
24,Fiorentina,Torino,2026-02-07
24,Genoa,Napoli,2026-02-07
24,Hellas Verona,Pisa,2026-02-06
24,Juventus,Lazio,2026-02-08
24,Lecce,Udinese,2026-02-08
24,Milan,Como,2026-02-18
24,Roma,Cagliari,2026-02-09
24,Sassuolo,Inter,2026-02-08
25,Cagliari,Lecce,2026-02-16
25,Como,Fiorentina,2026-02-14
25,Cremonese,Genoa,2026-02-15
25,Inter,Juventus,2026-02-14
25,Lazio,Atalanta,2026-02-14
25,Napoli,Roma,2026-02-15
25,Parma,Hellas Verona,2026-02-15
25,Pisa,Milan,2026-02-13
25,Torino,Bologna,2026-02-15
25,Udinese,Sassuolo,2026-02-15
26,Atalanta,Napoli,2026-02-22
26,Bologna,Udinese,2026-02-23
26,Cagliari,Lazio,2026-02-21
26,Fiorentina,Pisa,2026-02-23
26,Genoa,Torino,2026-02-22
26,Juventus,Como,2026-02-21
26,Lecce,Inter,2026-02-21
26,Milan,Parma,2026-02-22
26,Roma,Cremonese,2026-02-22
26,Sassuolo,Hellas Verona,2026-02-20
27,Como,Lecce,2026-02-28
27,Cremonese,Milan,2026-03-01
27,Hellas Verona,Napoli,2026-02-28
27,Inter,Genoa,2026-02-28
27,Parma,Cagliari,2026-02-27
27,Pisa,Bologna,2026-03-02
27,Roma,Juventus,2026-03-01
27,Sassuolo,Atalanta,2026-03-01
27,Torino,Lazio,2026-03-01
27,Udinese,Fiorentina,2026-03-02
28,Atalanta,Udinese,2026-03-07
28,Bologna,Hellas Verona,2026-03-08
28,Cagliari,Como,2026-03-07
28,Fiorentina,Parma,2026-03-08
28,Genoa,Roma,2026-03-08
28,Juventus,Pisa,2026-03-07
28,Lazio,Sassuolo,2026-03-09
28,Lecce,Cremonese,2026-03-08
28,Milan,Inter,2026-03-08
28,Napoli,Torino,2026-03-06
29,Como,Roma,2026-03-15
29,Cremonese,Fiorentina,2026-03-16
29,Hellas Verona,Genoa,2026-03-15
29,Inter,Atalanta,2026-03-14
29,Lazio,Milan,2026-03-15
29,Napoli,Lecce,2026-03-14
29,Pisa,Cagliari,2026-03-15
29,Sassuolo,Bologna,2026-03-15
29,Torino,Parma,2026-03-13
29,Udinese,Juventus,2026-03-14
30,Atalanta,Hellas Verona,2026-03-22
30,Bologna,Lazio,2026-03-22
30,Cagliari,Napoli,2026-03-20
30,Como,Pisa,2026-03-22
30,Fiorentina,Inter,2026-03-22
30,Genoa,Udinese,2026-03-20
30,Juventus,Sassuolo,2026-03-21
30,Milan,Torino,2026-03-21
30,Parma,Cremonese,2026-03-21
30,Roma,Lecce,2026-03-22
31,Cremonese,Bologna,2026-04-05
31,Hellas Verona,Fiorentina,2026-04-04
31,Inter,Roma,2026-04-05
31,Juventus,Genoa,2026-04-06
31,Lazio,Parma,2026-04-04
31,Lecce,Atalanta,2026-04-06
31,Napoli,Milan,2026-04-06
31,Pisa,Torino,2026-04-05
31,Sassuolo,Cagliari,2026-04-04
31,Udinese,Como,2026-04-06
32,Atalanta,Juventus,2026-04-11
32,Bologna,Lecce,2026-04-12
32,Cagliari,Cremonese,2026-04-11
32,Como,Inter,2026-04-12
32,Fiorentina,Lazio,2026-04-13
32,Genoa,Sassuolo,2026-04-12
32,Milan,Udinese,2026-04-11
32,Parma,Napoli,2026-04-12
32,Roma,Pisa,2026-04-10
32,Torino,Hellas Verona,2026-04-11
33,Cremonese,Torino,2026-04-19
33,Hellas Verona,Milan,2026-04-19
33,Inter,Cagliari,2026-04-17
33,Juventus,Bologna,2026-04-19
33,Lecce,Fiorentina,2026-04-20
33,Napoli,Lazio,2026-04-18
33,Pisa,Genoa,2026-04-19
33,Roma,Atalanta,2026-04-18
33,Sassuolo,Como,2026-04-17
33,Udinese,Parma,2026-04-18
34,Bologna,Roma,2026-04-25
34,Cagliari,Atalanta,2026-04-27
34,Fiorentina,Sassuolo,2026-04-26
34,Genoa,Como,2026-04-26
34,Hellas Verona,Lecce,2026-04-25
34,Lazio,Udinese,2026-04-27
34,Milan,Juventus,2026-04-26
34,Napoli,Cremonese,2026-04-24
34,Parma,Pisa,2026-04-25
34,Torino,Inter,2026-04-26
35,Atalanta,Genoa,2026-05-02
35,Bologna,Cagliari,2026-05-03
35,Como,Napoli,2026-05-02
35,Cremonese,Lazio,2026-05-04
35,Inter,Parma,2026-05-03
35,Juventus,Hellas Verona,2026-05-03
35,Pisa,Lecce,2026-05-01
35,Roma,Fiorentina,2026-05-04
35,Sassuolo,Milan,2026-05-03
35,Udinese,Torino,2026-05-02
36,Cagliari,Udinese,2026-05-09
36,Cremonese,Pisa,2026-05-10
36,Fiorentina,Genoa,2026-05-10
36,Hellas Verona,Como,2026-05-10
36,Lazio,Inter,2026-05-09
36,Lecce,Juventus,2026-05-09
36,Milan,Atalanta,2026-05-10
36,Napoli,Bologna,2026-05-11
36,Parma,Roma,2026-05-10
36,Torino,Sassuolo,2026-05-08
37,Atalanta,Bologna,2026-05-17
37,Cagliari,Torino,2026-05-17
37,Como,Parma,2026-05-17
37,Genoa,Milan,2026-05-17
37,Inter,Hellas Verona,2026-05-17
37,Juventus,Fiorentina,2026-05-17
37,Pisa,Napoli,2026-05-17
37,Roma,Lazio,2026-05-17
37,Sassuolo,Lecce,2026-05-17
37,Udinese,Cremonese,2026-05-17
38,Bologna,Inter,2026-05-23
38,Cremonese,Como,2026-05-24
38,Fiorentina,Atalanta,2026-05-22
38,Hellas Verona,Roma,2026-05-24
38,Lazio,Pisa,2026-05-23
38,Lecce,Genoa,2026-05-24
38,Milan,Cagliari,2026-05-24
38,Napoli,Udinese,2026-05-24
38,Parma,Sassuolo,2026-05-24
38,Torino,Juventus,2026-05-24
