matchday,home,away,date
1,Atalanta,Pisa,2025-08-24
1,Cagliari,Fiorentina,2025-08-24
1,Como,Lazio,2025-08-24
1,Genoa,Lecce,2025-08-23
1,Inter,Torino,2025-08-25
1,Juventus,Parma,2025-08-24
1,Milan,Cremonese,2025-08-23
1,Roma,Bologna,2025-08-23
1,Sassuolo,Napoli,2025-08-23
1,Udinese,Hellas Verona,2025-08-25
2,Bologna,Como,2025-08-30
2,Cremonese,Sassuolo,2025-08-29
2,Genoa,Juventus,2025-08-31
2,Inter,Udinese,2025-08-31
2,Lazio,Hellas Verona,2025-08-31
2,Lecce,Milan,2025-08-29
2,Napoli,Cagliari,2025-08-30
2,Parma,Atalanta,2025-08-30
2,Pisa,Roma,2025-08-30
2,Torino,Fiorentina,2025-08-31
3,Atalanta,Lecce,2025-09-14
3,Cagliari,Parma,2025-09-13
3,Como,Genoa,2025-09-15
3,Fiorentina,Napoli,2025-09-13
3,Hellas Verona,Cremonese,2025-09-15
3,Juventus,Inter,2025-09-13
3,Milan,Bologna,2025-09-14
3,Pisa,Udinese,2025-09-14
3,Roma,Torino,2025-09-14
3,Sassuolo,Lazio,2025-09-14
4,Bologna,Genoa,2025-09-20
4,Cremonese,Parma,2025-09-21
4,Fiorentina,Como,2025-09-21
4,Hellas Verona,Juventus,2025-09-20
4,Inter,Sassuolo,2025-09-21
4,Lazio,Roma,2025-09-21
4,Lecce,Cagliari,2025-09-19
4,Napoli,Pisa,2025-09-22
4,Torino,Atalanta,2025-09-21
4,Udinese,Milan,2025-09-20
5,Cagliari,Inter,2025-09-27
5,Como,Cremonese,2025-09-27
5,Genoa,Lazio,2025-09-29
5,Juventus,Atalanta,2025-09-27
5,Lecce,Bologna,2025-09-28
5,Milan,Napoli,2025-09-28
5,Parma,Torino,2025-09-29
5,Pisa,Fiorentina,2025-09-28
5,Roma,Hellas Verona,2025-09-28
5,Sassuolo,Udinese,2025-09-28
6,Atalanta,Como,2025-10-04
6,Bologna,Pisa,2025-10-05
6,Fiorentina,Roma,2025-10-05
6,Hellas Verona,Sassuolo,2025-10-03
6,Inter,Cremonese,2025-10-04
6,Juventus,Milan,2025-10-05
6,Lazio,Torino,2025-10-04
6,Napoli,Genoa,2025-10-05
6,Parma,Lecce,2025-10-04
6,Udinese,Cagliari,2025-10-05
7,Atalanta,Lazio,2025-10-19
7,Cagliari,Bologna,2025-10-19
7,Como,Juventus,2025-10-19
7,Cremonese,Udinese,2025-10-20
7,Genoa,Parma,2025-10-19
7,Lecce,Sassuolo,2025-10-18
7,Milan,Fiorentina,2025-10-19
7,Pisa,Hellas Verona,2025-10-18
7,Roma,Inter,2025-10-18
