matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
34,Como,Douvikas,a,7.0,10.0,7,10
34,Como,Kuhn,a,55.0,55.0,55,55
34,Como,Fabregas,all,6.5,6.5,"6,5","6,5"
34,Cremonese,Audero,p,7.0,6.0,7,6
34,Cremonese,Luperto,d,5.0,5.0,5,5
34,Cremonese,Pezzella Giu.,d,5.0,5.0,5,5
34,Cremonese,Terracciano F.,d,5.0,3.0,5,3
34,Cremonese,Baschirotto,d,5.0,5.0,5,5
34,Cremonese,Barbieri,d,55.0,55.0,55,55
34,Cremonese,Folino,d,6.0,6.0,6,6
34,Cremonese,Floriani Mussolini,d,5.5,5.5,"5,5","5,5"
34,Cremonese,Grassi,c,5.5,5.5,"5,5","5,5"
34,Cremonese,Maleh,c,4.5,4.5,"4,5","4,5"
34,Cremonese,Bondo,c,5.0,5.0,5,5
34,Cremonese,Zerbin,c,5.5,5.5,"5,5","5,5"
34,Cremonese,Payero,c,5.0,5.0,5,5
34,Cremonese,Vandeputte,c,5.5,5.5,"5,5","5,5"
34,Cremonese,Bonazzoli,a,5.5,5.5,"5,5","5,5"
34,Cremonese,Okereke,a,5.0,5.0,5,5
34,Cremonese,Giampaolo,all,5.0,5.0,5,5
34,Fiorentina,De Gea,p,6.0,6.0,6,6
34,Fiorentina,Rugani,d,6.0,6.0,6,6
34,Fiorentina,Ranieri L.,d,6.0,5.5,6,"5,5"
34,Fiorentina,Dodò,d,6.0,6.0,6,6
34,Fiorentina,Comuzzo,d,6.0,6.0,6,6
34,Fiorentina,Balbo,d,5.5,5.5,"5,5","5,5"
34,Fiorentina,Mandragora,c,5.5,5.0,"5,5",5
34,Fiorentina,Fagioli,c,6.0,6.0,6,6
34,Fiorentina,Harrison,c,6.0,6.0,6,6
34,Fiorentina,Gudmundsson A.,c,5.5,5.5,"5,5","5,5"
34,Fiorentina,Fazzini,c,6.0,6.0,6,6
34,Fiorentina,Fabbian,c,6.0,6.0,6,6
34,Fiorentina,Ndour,c,5.5,5.5,"5,5","5,5"
34,Fiorentina,Solomon,a,5.5,5.5,"5,5","5,5"
34,Fiorentina,Vanoli,all,6.0,6.0,6,6
34,Genoa,Leali,p,6.0,5.0,6,5
34,Genoa,Bijlow,p,6.0,5.0,6,5
34,Genoa,Sabelli,d,5.5,5.5,"5,5","5,5"
34,Genoa,Vasquez,d,5.5,5.5,"5,5","5,5"
34,Genoa,Ostigard,d,6.0,6.0,6,6
34,Genoa,Marcandalli,d,5.0,5.0,5,5
34,Genoa,Otoa,d,5.5,5.5,"5,5","5,5"
