matchday,team,player,role,vote,fantavote,vote_raw,fantavote_raw
31,Napoli,Elmas,c,55.0,55.0,55,55
31,Napoli,McTominay,c,6.0,6.0,6,6
31,Napoli,Santos A.,c,6.5,6.5,"6,5","6,5"
31,Napoli,Giovane,a,6.0,6.0,6,6
31,Napoli,Conte,all,6.5,6.5,"6,5","6,5"
31,Parma,Suzuki,p,6.0,5.0,6,5
31,Parma,Valenti,d,6.0,6.0,6,6
31,Parma,Valeri,d,6.5,6.5,"6,5","6,5"
31,Parma,Carboni F.,d,55.0,55.0,55,55
31,Parma,Circati,d,6.0,6.0,6,6
31,Parma,Delprato,d,7.0,10.0,7,10
31,Parma,Britschgi,d,6.0,6.0,6,6
31,Parma,Nicolussi Caviglia,c,6.0,6.0,6,6
31,Parma,Strefezza,c,6.5,6.0,"6,5",6
31,Parma,Estevez,c,5.5,5.5,"5,5","5,5"
31,Parma,Oristanio,c,55.0,55.0,55,55
31,Parma,Bernabè,c,6.0,6.0,6,6
31,Parma,Keita M.,c,6.0,6.0,6,6
31,Parma,Ordonez C.,c,55.0,55.0,55,55
31,Parma,Sorensen O.,c,55.0,55.0,55,55
31,Parma,Pellegrino M.,a,6.0,5.5,6,"5,5"
31,Parma,Cuesta,all,6.0,6.0,6,6
31,Pisa,Semper,p,6.0,5.0,6,5
