matchday,team,oppteam,home,goals_for,goals_against
8,Lecce,Udinese,0,2,3
8,Milan,Pisa,1,2,2
8,Napoli,Inter,1,3,1
8,Parma,Como,1,0,0
8,Pisa,Milan,0,2,2
8,Roma,Sassuolo,0,1,0
8,Sassuolo,Roma,1,0,1
8,Torino,Genoa,1,2,1
8,Udinese,Lecce,1,3,2
9,Atalanta,Milan,1,1,1
9,Bologna,Torino,1,0,0
9,Cagliari,Sassuolo,1,1,2
9,Como,Hellas Verona,1,3,1
9,Cremonese,Genoa,0,2,0
9,Fiorentina,Inter,0,0,3
9,Genoa,Cremonese,1,0,2
9,Hellas Verona,Como,0,1,3
9,Inter,Fiorentina,1,3,0
9,Juventus,Udinese,1,3,1
9,Lazio,Pisa,0,0,0
9,Lecce,Napoli,1,0,1
9,Milan,Atalanta,0,1,1
9,Napoli,Lecce,0,1,0
9,Parma,Roma,0,1,2
9,Pisa,Lazio,1,0,0
9,Roma,Parma,1,2,1
9,Sassuolo,Cagliari,0,2,1
9,Torino,Bologna,0,0,0
9,Udinese,Juventus,0,1,3
10,Atalanta,Udinese,0,0,1
10,Bologna,Parma,0,3,1
10,Cagliari,Lazio,0,0,2
10,Como,Napoli,0,0,0
10,Cremonese,Juventus,1,1,2
10,Fiorentina,Lecce,1,0,1
10,Genoa,Sassuolo,0,2,1
10,Hellas Verona,Inter,1,1,2
10,Inter,Hellas Verona,0,2,1
10,Juventus,Cremonese,0,2,1
10,Lazio,Cagliari,1,2,0
10,Lecce,Fiorentina,0,1,0
10,Milan,Roma,1,1,0
10,Napoli,Como,1,0,0
10,Parma,Bologna,1,1,3
10,Pisa,Torino,0,2,2
10,Roma,Milan,0,0,1
10,Sassuolo,Genoa,1,1,2
10,Torino,Pisa,1,2,2
10,Udinese,Atalanta,1,1,0
11,Atalanta,Sassuolo,1,0,3
11,Bologna,Napoli,1,2,0
11,Cagliari,Como,0,0,0
11,Como,Cagliari,1,0,0
11,Cremonese,Pisa,0,0,1
11,Fiorentina,Genoa,0,2,2
11,Genoa,Fiorentina,1,2,2
11,Hellas Verona,Lecce,0,0,0
11,Inter,Lazio,1,2,0
11,Juventus,Torino,1,0,0
11,Lazio,Inter,0,0,2
11,Lecce,Hellas Verona,1,0,0
11,Milan,Parma,0,2,2
11,Napoli,Bologna,0,0,2
11,Parma,Milan,1,2,2
11,Pisa,Cremonese,1,1,0
11,Roma,Udinese,1,2,0
11,Sassuolo,Atalanta,0,3,0
11,Torino,Juventus,0,0,0
11,Udinese,Roma,0,0,2
12,Atalanta,Napoli,0,1,3
12,Bologna,Udinese,0,3,0
12,Cagliari,Genoa,1,3,3
12,Como,Torino,0,5,1
12,Cremonese,Roma,1,1,3
12,Fiorentina,Juventus,1,1,1
12,Genoa,Cagliari,0,3,3
12,Hellas Verona,Parma,1,1,2
12,Inter,Milan,1,0,1
12,Juventus,Fiorentina,0,1,1
12,Lazio,Lecce,1,2,0
12,Lecce,Lazio,0,0,2
12,Milan,Inter,0,1,0
12,Napoli,Atalanta,1,3,1
12,Parma,Hellas Verona,0,2,1
12,Pisa,Sassuolo,0,2,2
12,Roma,Cremonese,0,3,1
12,Sassuolo,Pisa,1,2,2
12,Torino,Como,1,1,5
12,Udinese,Bologna,1,0,3
13,Atalanta,Fiorentina,1,2,0
13,Bologna,Cremonese,1,1,3
13,Cagliari,Juventus,0,1,2
13,Como,Sassuolo,1,2,0
13,Cremonese,Bologna,0,3,1
13,Fiorentina,Atalanta,0,0,2
13,Genoa,Hellas Verona,1,2,1
13,Hellas Verona,Genoa,0,1,2
13,Inter,Pisa,0,2,0
13,Juventus,Cagliari,1,2,1
13,Lazio,Milan,0,0,1
13,Lecce,Torino,1,2,1
13,Milan,Lazio,1,1,0
13,Napoli,Roma,0,1,0
13,Parma,Udinese,1,0,2
13,Pisa,Inter,1,0,2
13,Roma,Napoli,1,0,1
13,Sassuolo,Como,0,0,2
13,Torino,Lecce,0,1,2
13,Udinese,Parma,0,2,0
14,Atalanta,Hellas Verona,0,1,3
14,Bologna,Lazio,0,1,1
14,Cagliari,Roma,1,1,0
14,Como,Inter,0,0,4
14,Cremonese,Lecce,1,2,0
14,Fiorentina,Sassuolo,0,1,3
14,Genoa,Udinese,0,2,1
14,Hellas Verona,Atalanta,1,3,1
14,Inter,Como,1,4,0
14,Juventus,Napoli,0,1,2
14,Lazio,Bologna,1,1,1
14,Lecce,Cremonese,0,0,2
14,Milan,Torino,0,3,2
14,Napoli,Juventus,1,2,1
14,Parma,Pisa,0,1,0
14,Pisa,Parma,1,0,1
14,Roma,Cagliari,0,0,1
14,Sassuolo,Fiorentina,1,3,1
14,Torino,Milan,1,2,3
14,Udinese,Genoa,1,1,2
15,Atalanta,Cagliari,1,2,1
15,Bologna,Juventus,1,0,1
15,Cagliari,Atalanta,0,1,2
15,Como,Roma,0,0,1
15,Cremonese,Torino,0,0,1
15,Fiorentina,Hellas Verona,1,1,2
15,Genoa,Inter,1,1,2
15,Hellas Verona,Fiorentina,0,2,1
15,Inter,Genoa,0,2,1
15,Juventus,Bologna,0,1,0
15,Lazio,Parma,0,1,0
15,Lecce,Pisa,1,1,0
15,Milan,Sassuolo,1,2,2
15,Napoli,Udinese,0,0,1
15,Parma,Lazio,1,0,1
15,Pisa,Lecce,0,0,1
15,Roma,Como,1,1,0
15,Sassuolo,Milan,0,2,2
15,Torino,Cremonese,1,1,0
15,Udinese,Napoli,1,1,0
16,Atalanta,Genoa,0,1,0
16,Bologna,Hellas Verona,0,3,2
16,Cagliari,Pisa,1,2,2
16,Como,Milan,1,1,3
16,Cremonese,Lazio,0,0,0
16,Fiorentina,Udinese,1,5,1
16,Genoa,Atalanta,1,0,1
16,Hellas Verona,Bologna,1,2,3
16,Inter,Lecce,1,1,0
16,Juventus,Roma,1,2,1
16,Lazio,Cremonese,1,0,0
16,Lecce,Inter,0,0,1
16,Milan,Como,0,3,1
16,Napoli,Parma,1,0,0
16,Parma,Napoli,0,0,0
16,Pisa,Cagliari,0,2,2
16,Roma,Juventus,0,1,2
