player,nationality,position,team,age,birth_year,games,games_starts,minutes,goals,assists,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_per90,npxg_per90,minutes_90s,shots_on_target,shots_free_kicks,shots_on_target_pct,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,throw_ins,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_shots,sca_fouled,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,blocks,blocked_shots,blocked_passes,interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,carries,progressive_carries,carries_into_final_third,carries_into_penalty_area,passes_received,miscontrols,dispossessed,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
Victor Nelsson,dk DEN,DF,Hellas Verona,26.0,1998.0,38,37,"3,315",0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,0.4676975440233946,0.4676975440233946,0.012693841665291168,0.012693841665291168,36.8,1,0.0,12.5,0.03,0.0,0.0,0.04676975440233946,-0.4676975440233946,-0.4676975440233946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,44,20,0,0.0,0.0,1,0.0,0.0,0.0,0.0
David Neres,br BRA,"FW,MF",Napoli,28.0,1997.0,16,10,922,3,3,0,0,3,0,0.29,0.29,0.59,0.29,0.59,1.484556145966053,1.484556145966053,0.1433584261126017,0.1433584261126017,10.2,4,0.0,23.5,0.39,0.18,0.75,0.08732683211565018,1.515443854033947,1.515443854033947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,19,7,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Oumar Ngom,mr MTN,MF,Lecce,21.0,2004.0,15,10,842,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.2407711967825889,0.2407711967825889,0.025583716305115703,0.025583716305115703,9.4,2,0.0,40.0,0.21,0.0,0.0,0.04815423935651778,-0.2407711967825889,-0.2407711967825889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Cyril Ngonge,be BEL,FW,Torino,25.0,2000.0,20,11,994,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,2.7625477351248264,2.7625477351248264,0.2519040487955769,0.2519040487955769,11.0,12,0.0,50.0,1.09,0.04,0.08,0.1151061556302011,-1.7625477351248264,-1.7625477351248264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,18,6,0.0,0.0,0,0.0,0.0,0.0,0.0
Mikayil Ngor Faye,sn SEN,"MF,DF",Cremonese,21.0,2004.0,8,2,254,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Cheikh Niasse,sn SEN,MF,Hellas Verona,25.0,2000.0,19,11,970,0,1,0,0,1,0,0.0,0.09,0.09,0.0,0.09,0.1757795037701726,0.1757795037701726,0.016259152455617196,0.016259152455617196,10.8,1,0.0,16.7,0.09,0.0,0.0,0.029296583961695433,-0.1757795037701726,-0.1757795037701726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,20,15,2,0.0,0.0,0,0.0,0.0,0.0,0.0
Hans Nicolussi Caviglia,it ITA,MF,Fiorentina,25.0,2000.0,11,7,585,0,1,0,0,4,0,0.0,0.15,0.15,0.0,0.15,0.8566823797300458,0.8566823797300458,0.05295426797781877,0.05295426797781877,6.5,1,0.0,25.0,0.15,0.0,0.0,0.04283411898650229,-0.8566823797300458,-0.8566823797300458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15,15,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Hans Nicolussi Caviglia,it ITA,MF,Parma,25.0,2000.0,15,10,869,0,3,0,0,0,0,0.0,0.31,0.31,0.0,0.31,0.8566823797300458,0.8566823797300458,0.05295426797781877,0.05295426797781877,9.7,2,0.0,12.5,0.21,0.0,0.0,0.04283411898650229,-0.8566823797300458,-0.8566823797300458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Oliver Nielsen,dk DEN,DF,Lazio,22.0,2003.0,26,13,"1,536",0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,2,0.0,33.3,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Alieu Njie,se SWE,"MF,FW",Torino,20.0,2005.0,15,2,299,1,1,0,0,2,0,0.3,0.3,0.6,0.3,0.6,1.2113833390176296,1.2113833390176296,0.40986654327664157,0.40986654327664157,3.3,3,0.0,50.0,0.9,0.17,0.33,0.2422766678035259,-0.21138333901762962,-0.21138333901762962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0
