player,nationality,position,team,age,birth_year,gk_games,gk_games_starts,gk_minutes,gk_goals_against,gk_goals_against_per90,gk_shots_on_target_against,gk_saves,gk_save_pct,gk_wins,gk_ties,gk_losses,gk_clean_sheets,gk_clean_sheets_pct,gk_pens_att,gk_pens_allowed,gk_pens_saved,gk_pens_missed,minutes_90s,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions
Massimo Pessina,it ITA,GK,Bologna,17,2007,4,3,353,2,0.51,9,7,77.8,2,1,0,3,100.0,0,0,0,0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivan Provedel,it ITA,GK,Lazio,31,1994,27,27,"2,430",27,1.0,116,87,76.7,8,10,9,12,44.4,4,3,1,0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Federico Ravaglia,it ITA,GK,Bologna,25,1999,17,16,"1,470",29,1.78,81,52,64.2,4,3,9,2,12.5,2,2,0,0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Rinaldi,it ITA,GK,Parma,22,2002,1,1,90,0,0.0,4,4,100.0,0,1,0,1,100.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Razvan Sava,ro ROU,GK,Udinese,23,2002,7,6,620,14,2.03,28,14,50.0,2,2,2,1,16.7,0,0,0,0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Scuffet,it ITA,GK,Pisa,29,1996,7,7,630,15,2.14,29,14,48.3,0,3,4,1,14.3,3,3,0,0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Šemper,hr CRO,GK,Pisa,27,1998,25,25,"2,250",42,1.68,124,82,66.1,1,9,15,4,16.0,2,2,0,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Silvestri,it ITA,GK,Cremonese,34,1991,4,4,360,7,1.75,22,15,68.2,0,3,1,0,0.0,0,0,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Łukasz Skorupski,pl POL,GK,Bologna,34,1991,19,19,"1,592",18,1.02,51,33,64.7,10,4,5,8,42.1,2,2,0,0,17.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniele Sommariva,it ITA,GK,Genoa,28,1997,2,1,176,4,2.05,12,8,66.7,0,0,1,0,0.0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yann Sommer,ch SUI,GK,Inter,36,1988,33,33,"2,960",30,0.91,95,64,68.4,23,5,5,15,45.5,4,4,0,0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Sportiello,it ITA,GK,Atalanta,33,1992,1,1,90,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zion Suzuki,jp JPN,GK,Parma,22,2002,20,20,"1,800",28,1.4,93,65,69.9,3,7,10,5,25.0,3,2,1,0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mile Svilar,rs SRB,GK,Roma,25,1999,38,38,"3,420",31,0.82,138,107,77.5,23,4,11,18,47.4,1,1,0,0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pietro Terracciano,it ITA,GK,Milan,35,1990,2,1,125,0,0.0,4,4,100.0,1,0,0,2,200.0,0,0,0,0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stefano Turati,it ITA,GK,Sassuolo,23,2001,6,6,532,7,1.18,22,15,68.2,2,1,3,2,33.3,0,0,0,0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gioele Zacchi,it ITA,GK,Sassuolo,22,2003,1,0,8,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
